"ID","weights","sample weight","Tray well","join_id","date","X600"
"Lab_38",23.9,54,"a54","E06",2025-05-30,0.2035
"Lab_39",26.1,55,"a55","E07",2025-05-30,0.4655
"Lab_39",24.6,56,"a56","E08",2025-05-30,0.3325
"Lab_40",26.8,57,"a57","E09",2025-05-30,0.4135
"Lab_40",26.5,58,"a58","E10",2025-05-30,0.3965
"Lab_41",27,59,"a59","E11",2025-05-30,0.3335
"Lab_41",23.8,60,"a60","E12",2025-05-30,0.3865
"Lab_42",26.7,61,"a61","F01",2025-05-30,0.3085
"Lab_42",23.9,62,"a62","F02",2025-05-30,0.2355
"Lab_43",27,63,"a63","F03",2025-05-30,0.2675
"Lab_43",23.7,64,"a64","F04",2025-05-30,0.2715
"Lab_44",24.2,65,"a65","F05",2025-05-30,0.3115
"Lab_44",23.4,66,"a66","F06",2025-05-30,0.2005
"Lab_45",24.2,67,"a67","F07",2025-05-30,0.1905
"Lab_45",25.9,68,"a68","F08",2025-05-30,0.3115
"Lab_46",27,69,"a69","F09",2025-05-30,0.4465
"Lab_46",26.7,70,"a70","F10",2025-05-30,0.3075
"Lab_47",25.4,71,"a71","F11",2025-05-30,0.3075
"Lab_47",25,72,"a72","F12",2025-05-30,0.3745
"Lab_49",23.2,73,"a73","G01",2025-05-30,0.3865
"Lab_49",25.4,74,"a74","G02",2025-05-30,0.3655
"Lab_50",26.2,75,"a75","G03",2025-05-30,0.3405
"Lab_50",26.8,76,"a76","G04",2025-05-30,0.2045
"ST_1.2",NA,NA,NA,"H01",2025-05-30,0.2585
"ST_2.4",NA,NA,NA,"H02",2025-05-30,0.3235
"ST_3.0",NA,NA,NA,"H03",2025-05-30,0.4455
"ST_3.6",NA,NA,NA,"H04",2025-05-30,0.5575
"ST_4.8",NA,NA,NA,"H05",2025-05-30,0.7785
"ST_1.2",NA,NA,NA,"H06",2025-05-30,0.1808333333
"ST_2.4",NA,NA,NA,"H07",2025-05-30,0.273
"ST_3.0",NA,NA,NA,"H08",2025-05-30,0.395
"ST_3.6",NA,NA,NA,"H09",2025-05-30,0.5848333333
"ST_4.8",NA,NA,NA,"H10",2025-05-30,0.7355
"BLANK_01",NA,NA,NA,"H11",2025-05-30,0.0025
"BLANK_02",NA,NA,NA,"H12",2025-05-30,-0.0025
