"join_id","X600","X650","X750","ID","weights","Tray cell","date"
"F06",0.110333333333333,0.123666666666667,0.152666666666667,"Lab_16",10.1,"D05",2025-06-07
"F07",0.105333333333333,0.118666666666667,0.137666666666667,"Lab_16",9,"D06",2025-06-07
"F08",0.0623333333333333,0.0736666666666667,0.0916666666666667,"Lab_17",10,"D07",2025-06-07
"F09",0.0593333333333333,0.0666666666666667,0.0796666666666667,"Lab_17",10.1,"D08",2025-06-07
"F10",0.0863333333333333,0.0986666666666667,0.119666666666667,"Lab_17",10.2,"D09",2025-06-07
"F11",0.0993333333333333,0.110666666666667,0.130666666666667,"Lab_18",10.7,"D10",2025-06-07
"F12",0.128333333333333,0.145666666666667,0.174666666666667,"Lab_18",10,"D11",2025-06-07
"G01",0.0683333333333333,0.0806666666666667,0.100666666666667,"Lab_18",10.5,"D12",2025-06-07
"G02",0.103333333333333,0.119666666666667,0.148666666666667,"Lab_19",10.1,"D13",2025-06-07
"G03",0.167333333333333,0.188666666666667,0.223666666666667,"Lab_19",10.9,"D14",2025-06-07
"G04",0.154333333333333,0.173666666666667,0.204666666666667,"Lab_19",11,"D15",2025-06-07
"G05",0.0763333333333333,0.0866666666666667,0.102666666666667,"Lab_20",10.4,"D16",2025-06-07
"G06",0.0953333333333333,0.106666666666667,0.127666666666667,"Lab_20",9.1,"E01",2025-06-07
"G07",0.0973333333333333,0.111666666666667,0.136666666666667,"Lab_20",10.6,"E02",2025-06-07
"G08",0.118333333333333,0.130666666666667,0.156666666666667,"Lab_21",10.8,"E03",2025-06-07
"G09",0.0823333333333333,0.0936666666666667,0.119666666666667,"Lab_21",10.3,"E04",2025-06-07
"G10",0.0983333333333333,0.0986666666666667,0.102666666666667,"Lab_21",9.3,"E05",2025-06-07
"G11",0.129333333333333,0.148666666666667,0.186666666666667,"Lab_22",11,"E06",2025-06-07
"G12",0.684333333333333,0.737666666666667,0.775666666666667,"Lab_22",10.8,"E07",2025-06-07
"H01",0.0853333333333333,0.106666666666667,0.135666666666667,"Lab_22",10.7,"E08",2025-06-07
"H02",0.856333333333333,0.920666666666667,0.980666666666667,"Stan1.2A",NA,NA,2025-06-07
"H03",0.962333333333333,1.03566666666667,1.08966666666667,"Stand2.4A",NA,NA,2025-06-07
"H04",0.635333333333333,0.687666666666667,0.733666666666667,"Stand3.0A",NA,NA,2025-06-07
"H05",0.171333333333333,0.188666666666667,0.209666666666667,"Stand3.6A",NA,NA,2025-06-07
"H06",0.638333333333333,0.680666666666667,0.711666666666667,"Stand4.8A",NA,NA,2025-06-07
"H07",0.476333333333333,0.519666666666667,0.568666666666667,"Stand 4.8B",NA,NA,2025-06-07
"H08",0.203333333333333,0.223666666666667,0.249666666666667,"Stand3.6B",NA,NA,2025-06-07
"H09",0.231333333333333,0.251666666666667,0.276666666666667,"Stand3.0B",NA,NA,2025-06-07
"H10",0.716333333333333,0.769666666666667,0.807666666666667,"Stand2.4B",NA,NA,2025-06-07
"H11",0.428333333333333,0.470666666666667,0.522666666666667,"Stand 1.2B",NA,NA,2025-06-07
"H12",1.28533333333333,1.36266666666667,1.38666666666667,"Stand3.6",NA,NA,2025-06-07
