"join_id","X455","X564","X592","X618","X645","X565","ID","sample weight","Tray well","date"
"E02",0.012,0.006,0.004,0.003,0.002,0.006,"Lab_17",10,"D2",2025-05-06
"E03",0.015,0.008,0.005,0.005,0.003,0.008,"Lab_17",9.8,"D3",2025-05-06
"E04",0.017,0.007,0.005,0.005,0.003,0.007,"Lab_17",10.8,"D4",2025-05-06
"E05",0.011,0.006,0.004,0.003,0.002,0.006,"Lab_18",10.3,"D5",2025-05-06
"E06",0.009,0.004,0.002,0.002,0,0.004,"Lab_18",11,"D6",2025-05-06
"E07",0.013,0.006,0.00199999999999999,0.00199999999999999,0.000999999999999994,0.006,"Lab_18",10.6,"D7",2025-05-06
"E08",0.013,0.005,0.004,0.004,0.003,0.006,"Lab_19",10.4,"D8",2025-05-06
"E09",0.019,0.012,0.011,0.01,0.008,0.012,"Lab_19",10.7,"D9",2025-05-06
"E10",0.018,0.012,0.011,0.01,0.008,0.012,"Lab_19",10.5,"D10",2025-05-06
"E11",0.012,0.006,0.005,0.004,0.002,0.006,"Lab_20",10,"D11",2025-05-06
"E12",0.014,0.013,0.008,0.007,0.005,0.013,"Lab_20",9.8,"D12",2025-05-06
"F02",0.014,0.016,0.008,0.007,0.003,0.013,"Lab_21",9.6,"D14",2025-05-06
"F03",0.016,0.017,0.009,0.009,0.006,0.017,"Lab_21",10.2,"D15",2025-05-06
"F04",0.015,0.015,0.007,0.006,0.003,0.014,"Lab_21",9.7,"D16",2025-05-06
"F05",0.011,0.012,0.005,0.005,0.002,0.011,"Lab_22",10.8,"E1",2025-05-06
"F06",0.013,0.011,0.005,0.006,0.003,0.011,"Lab_22",9.7,"E2",2025-05-06
"F08",0.016,0.007,0.006,0.004,0.002,0.007,"Lab_38",10.2,"E4",2025-05-06
"F09",0.013,0.006,0.004,0.003,0.002,0.005,"Lab_38",10.5,"E5",2025-05-06
"F10",0.028,0.015,0.008,0.006,0.007,0.01,"Lab_38",10.9,"E6",2025-05-06
"F11",0.032,0.027,0.022,0.021,0.02,0.026,"Lab_39",10.5,"E7",2025-05-06
"F12",0.026,0.015,0.011,0.01,0.008,0.014,"Lab_39",9.8,"E8",2025-05-06
"G02",0.026,0.014,0.012,0.012,0.01,0.014,"Lab_40",9.6,"E10",2025-05-06
"G03",0.015,0.005,0.004,0.003,0.002,0.005,"Lab_40",9.8,"E11",2025-05-06
"G04",0.012,0.005,0.004,0.004,0.003,0.005,"Lab_40",9.9,"E12",2025-05-06
"G05",0.046,0.027,0.024,0.022,0.019,0.027,"Lab_41",10.6,"E13",2025-05-06
"G06",0.127,0.078,0.066,0.062,0.057,0.075,"Lab_41",10.5,"E14",2025-05-06
"G07",0.083,0.045,0.039,0.035,0.032,0.045,"Lab_41",10.7,"E15",2025-05-06
"G08",0.019,0.011,0.008,0.006,0.004,0.01,"Lab_42",10.2,"E16",2025-05-06
"G09",0.073,0.044,0.038,0.034,0.03,0.042,"Lab_42",10.7,"F01",2025-05-06
"G10",0.061,0.038,0.033,0.03,0.027,0.038,"Lab_42",9.3,"F02",2025-05-06
"G11",0.11,0.071,0.06,0.055,0.049,0.069,"Lab_43",10.5,"F03",2025-05-06
"G12",0.145,0.1,0.085,0.078,0.07,0.099,"Lab_43",9.6,"F04",2025-05-06
"H01",0.032,0.021,0.014,0.013,0.01,0.021,"Lab_43",9.1,"F05",2025-05-06
"H02",0.031,0.022,0.016,0.014,0.012,0.022,"Lab_44",10,"F06",2025-05-06
"H03",0.013,0.009,0.004,0.003,0,0.009,"Lab_44",9.4,"F07",2025-05-06
"H04",0.021,0.012,0.008,0.007,0.006,0.012,"Lab_44",9.8,"F08",2025-05-06
"H05",0.014,0.006,0.004,0.003,0.002,0.006,"Lab_45",10.3,"F09",2025-05-07
"H06",0.011,0.005,0.003,0.003,0.002,0.004,"Lab_45",9.3,"F10",2025-05-07
"H08",0.008,0.004,0.003,0.002,0.001,0.004,"Lab_46",10.6,"F12",2025-05-07
"H09",0.012,0.005,0.002,0.002,0,0.005,"Lab_46",9,"F13",2025-05-07
"H10",0.015,0.011,0.007,0.007,0.004,0.011,"Lab_46",10.3,"F14",2025-05-07
"H11",0.017,0.011,0.007,0.006,0.004,0.011,"Lab_48",9.8,"F15",2025-05-07
"H12",0.055,0.046,0.045,0.044,0.041,0.045,"Lab_48",9.5,"F16",2025-05-07
