"join_id","X455","X564","X592","X618","X645","X565","ID","sample weight","Tray well","date"
"C02",0.023,0.019,0.01,0.01,0.007,0.019,"Lab_09",10.1,"B10",2025-05-06
"C03",0.032,0.029,0.019,0.018,0.015,0.029,"Lab_09",10.3,"B11",2025-05-06
"C04",0.021,0.019,0.012,0.012,0.008,0.019,"Lab_09",10.1,"B12",2025-05-06
"C05",0.063,0.052,0.042,0.039,0.035,0.051,"Lab_10",11,"B13",2025-05-06
"C06",0.016,0.01,0.005,0.005,0.004,0.008,"Lab_10",10.5,"B14",2025-05-06
"C07",0.012,0.006,0.004,0.006,0.005,0.007,"Lab_10",9.9,"B15",2025-05-06
"C08",0.043,0.036,0.029,0.032,0.03,0.036,"Lab_11",10.7,"B16",2025-05-06
"C09",0.014,0.009,0.005,0.005,0.004,0.009,"Lab_11",11,"C1",2025-05-06
"C10",0.027,0.018,0.012,0.011,0.008,0.014,"Lab_11",10.4,"C2",2025-05-06
"C11",0.013,0.01,0.006,0.006,0.004,0.01,"Lab_12",10.9,"C3",2025-05-06
"C12",0.015,0.015,0.008,0.009,0.006,0.014,"Lab_12",9.8,"C4",2025-05-06
"D01",0.021,0.012,0.008,0.008,0.007,0.012,"Lab_12",10.7,"C5",2025-05-06
"D02",0.013,0.014,0.006,0.006,0.003,0.014,"Lab_13",10.8,"C6",2025-05-06
"D03",0.016,0.015,0.007,0.007,0.004,0.015,"Lab_13",11,"C7",2025-05-06
"D04",0.011,0.008,0.004,0.008,0.004,0.008,"Lab_13",9.1,"C8",2025-05-06
"D05",0.012,0.009,0.006,0.007,0.005,0.009,"Lab_14",10.8,"C9",2025-05-06
"D06",0.015,0.012,0.009,0.009,0.006,0.012,"Lab_14",9.9,"C10",2025-05-06
"D07",0.00899999999999999,0.006,0.002,0.003,0.001,0.006,"Lab_14",9.4,"C11",2025-05-06
"D08",0.013,0.01,0.007,0.007,0.006,0.01,"Lab_15",10.7,"C12",2025-05-06
"D09",0.008,0.006,0.003,0.004,0.003,0.005,"Lab_15",9.5,"C13",2025-05-06
"D10",0.037,0.031,0.031,0.031,0.03,0.033,"Lab_15",10.3,"C14",2025-05-06
"D11",0.013,0.01,0.007,0.008,0.005,0.01,"Lab_16",10.7,"C15",2025-05-06
"D12",0.025,0.021,0.015,0.013,0.011,0.019,"Lab_16",10.1,"C16",2025-05-06
"E01",0.005,0.003,0.002,0.003,0.002,0.003,"Lab_16",9.9,"D1",2025-05-06
"E02",0.00899999999999999,0.006,0.004,0.004,0.003,0.006,"Lab_17",10,"D2",2025-05-06
"E03",0.012,0.008,0.005,0.006,0.004,0.008,"Lab_17",9.8,"D3",2025-05-06
"E04",0.013,0.006,0.004,0.005,0.003,0.006,"Lab_17",10.8,"D4",2025-05-06
"E05",0.007,0.005,0.003,0.003,0.002,0.005,"Lab_18",10.3,"D5",2025-05-06
"E06",0.006,0.004,0.002,0.003,0.001,0.004,"Lab_18",11,"D6",2025-05-06
"E07",0.013,0.009,0.005,0.006,0.005,0.009,"Lab_18",10.6,"D7",2025-05-06
"E08",0.01,0.005,0.004,0.005,0.004,0.006,"Lab_19",10.4,"D8",2025-05-06
"E09",0.016,0.012,0.011,0.011,0.009,0.012,"Lab_19",10.7,"D9",2025-05-06
"E10",0.014,0.011,0.01,0.01,0.008,0.011,"Lab_19",10.5,"D10",2025-05-06
"E11",0.008,0.005,0.004,0.004,0.002,0.005,"Lab_20",10,"D11",2025-05-06
"E12",0.011,0.013,0.008,0.008,0.006,0.013,"Lab_20",9.8,"D12",2025-05-06
"F01",0.01,0.013,0.005,0.006,0.003,0.013,"Lab_20",9.9,"D13",2025-05-06
"F02",0.011,0.016,0.008,0.008,0.004,0.013,"Lab_21",9.6,"D14",2025-05-06
"F03",0.013,0.017,0.009,0.01,0.007,0.017,"Lab_21",10.2,"D15",2025-05-06
"F04",0.011,0.014,0.006,0.006,0.003,0.013,"Lab_21",9.7,"D16",2025-05-06
"F05",0.007,0.011,0.004,0.005,0.002,0.01,"Lab_22",10.8,"E1",2025-05-06
"F06",0.01,0.011,0.005,0.007,0.004,0.011,"Lab_22",9.7,"E2",2025-05-06
"F07",0.01,0.015,0.007,0.008,0.003,0.014,"Lab_22",9.6,"E3",2025-05-06
"F08",0.013,0.007,0.006,0.005,0.003,0.007,"Lab_38",10.2,"E4",2025-05-06
"F09",0.01,0.006,0.004,0.004,0.003,0.005,"Lab_38",10.5,"E5",2025-05-06
"F10",0.024,0.014,0.007,0.006,0.007,0.009,"Lab_38",10.9,"E6",2025-05-06
"F11",0.028,0.026,0.021,0.021,0.02,0.025,"Lab_39",10.5,"E7",2025-05-06
"F12",0.023,0.015,0.011,0.011,0.009,0.014,"Lab_39",9.8,"E8",2025-05-06
"G01",0.016,0.007,0.004,0.004,0.002,0.007,"Lab_39",9.2,"E9",2025-05-06
"G02",0.023,0.014,0.012,0.013,0.011,0.014,"Lab_40",9.6,"E10",2025-05-06
"G03",0.012,0.005,0.004,0.004,0.003,0.005,"Lab_40",9.8,"E11",2025-05-06
"G04",0.008,0.004,0.003,0.004,0.003,0.004,"Lab_40",9.9,"E12",2025-05-06
"G05",0.042,0.026,0.023,0.022,0.019,0.026,"Lab_41",10.6,"E13",2025-05-06
"G06",0.124,0.078,0.066,0.063,0.058,0.075,"Lab_41",10.5,"E14",2025-05-06
"G07",0.083,0.048,0.042,0.039,0.036,0.048,"Lab_41",10.7,"E15",2025-05-06
"G08",0.016,0.011,0.008,0.007,0.005,0.01,"Lab_42",10.2,"E16",2025-05-06
"G09",0.07,0.044,0.038,0.035,0.031,0.042,"Lab_42",10.7,"F01",2025-05-06
"G10",0.057,0.037,0.032,0.03,0.027,0.037,"Lab_42",9.3,"F02",2025-05-06
"G11",0.106,0.07,0.059,0.055,0.049,0.068,"Lab_43",10.5,"F03",2025-05-06
"G12",0.142,0.1,0.085,0.079,0.071,0.099,"Lab_43",9.6,"F04",2025-05-06
"H01",0.032,0.024,0.017,0.017,0.014,0.024,"Lab_43",9.1,"F05",2025-05-06
"H02",0.028,0.022,0.016,0.015,0.013,0.022,"Lab_44",10,"F06",2025-05-06
"H03",0.01,0.009,0.004,0.004,0.001,0.009,"Lab_44",9.4,"F07",2025-05-06
"H04",0.017,0.011,0.007,0.007,0.006,0.011,"Lab_44",9.8,"F08",2025-05-06
"H05",0.01,0.005,0.003,0.003,0.002,0.005,"Lab_45",10.3,"F09",2025-05-07
"H06",0.008,0.005,0.003,0.004,0.003,0.004,"Lab_45",9.3,"F10",2025-05-07
"H07",0.01,0.006,0.003,0.004,0.002,0.006,"Lab_45",10.1,"F11",2025-05-07
"H08",0.005,0.004,0.003,0.003,0.002,0.004,"Lab_46",10.6,"F12",2025-05-07
"H09",0.00899999999999999,0.005,0.002,0.003,0.001,0.005,"Lab_46",9,"F13",2025-05-07
"H10",0.011,0.01,0.006,0.007,0.004,0.01,"Lab_46",10.3,"F14",2025-05-07
"H11",0.013,0.01,0.006,0.006,0.004,0.01,"Lab_48",9.8,"F15",2025-05-07
"H12",0.052,0.046,0.045,0.045,0.042,0.045,"Lab_48",9.5,"F16",2025-05-07
