"join_id","X564","X592","X455","X565","diff_absorbance","ID","sample weight","Tray well","date","PE_ug_per_g","PE_mg_per_g_sample","Xred"
"C01",0.0143333333333333,0.00733333333333333,0.0173333333333333,0.0133333333333333,-0.001,"Lab_08",25.8,"B09",2025-05-06,6e-04,3.48837209302325e-08,7652
"C02",0.0113333333333333,0.00433333333333333,0.0143333333333333,0.0113333333333333,0,"Lab_08",25.5,"B10",2025-05-06,6e-04,3.52941176470588e-08,6979
"C03",0.00733333333333334,0.00133333333333333,0.0123333333333333,0.00733333333333334,0,"Lab_08",24.5,"B11",2025-05-06,0.000456000000000001,2.79183673469388e-08,6719
"C04",0.00866666666666667,0.00466666666666667,0.0166666666666667,0.00866666666666667,0,"Lab_09",23.4,"B12",2025-05-06,0.000192,1.23076923076923e-08,3752
"C05",0.0123333333333333,0.00533333333333333,0.0263333333333333,0.0123333333333333,0,"Lab_09",25,"B13",2025-05-06,0.000336,2.016e-08,5848
"C06",0.0293333333333333,0.0243333333333333,0.0403333333333333,0.0283333333333333,-0.001,"Lab_09",26.2,"B14",2025-05-06,0.000216000000000001,1.23664122137405e-08,4321
"C07",0.0243333333333333,0.00933333333333333,0.0193333333333333,0.0203333333333333,-0.004,"Lab_10",24.8,"B15",2025-05-06,0.00156,9.43548387096774e-08,15170
"C08",0.0236666666666667,0.0136666666666667,0.0366666666666667,0.0236666666666667,0,"Lab_10",27,"B16",2025-05-06,0.000648,3.6e-08,11558
"C09",0.0233333333333333,0.0133333333333333,0.0443333333333333,0.0223333333333333,-0.001,"Lab_10",24.5,"C1",2025-05-06,0.000456,2.79183673469388e-08,10254
"C10",0.0233333333333333,0.0163333333333333,0.0273333333333333,0.0223333333333333,-0.001,"Lab_11",26.5,"C2",2025-05-06,0.000576,3.26037735849057e-08,8685
"C11",0.0153333333333333,0.00933333333333333,0.0233333333333333,0.0153333333333333,0,"Lab_11",24.8,"C3",2025-05-06,0.000384,2.32258064516129e-08,6728
"C12",0.0756666666666667,0.0656666666666667,0.100666666666667,0.0756666666666667,0,"Lab_11",23,"C4",2025-05-06,0.000360000000000001,2.34782608695653e-08,8249
"D02",0.0103333333333333,0.00533333333333334,0.0233333333333333,0.0103333333333333,0,"Lab_12",23.3,"C6",2025-05-06,0.000168,1.08154506437769e-08,4450
"D04",0.00866666666666667,0.00466666666666667,0.0106666666666667,0.00866666666666667,0,"Lab_13",24.5,"C8",2025-05-06,0.000336,2.05714285714286e-08,6392
"D05",0.00733333333333333,0.00333333333333333,0.0133333333333333,0.00733333333333333,0,"Lab_13",26.2,"C9",2025-05-06,0.00024,1.37404580152672e-08,5330
"D06",0.0163333333333333,0.00633333333333334,0.0193333333333333,0.0163333333333333,0,"Lab_13",26.6,"C10",2025-05-06,0.000888,5.00751879699248e-08,13629
"D08",0.00666666666666667,0.00366666666666667,0.0136666666666667,0.00666666666666667,0,"Lab_14",25.5,"C12",2025-05-06,0.00012,7.05882352941174e-09,3802
"D09",0.00733333333333333,0.00433333333333333,0.0143333333333333,0.00733333333333333,0,"Lab_14",24.4,"C13",2025-05-06,0.00012,7.37704918032789e-09,3829
"D10",0.00933333333333334,0.00533333333333334,0.0223333333333333,0.00933333333333334,0,"Lab_15",23.5,"C14",2025-05-06,7.20000000000004e-05,4.59574468085109e-09,5004
"D11",0.0113333333333333,0.00433333333333333,0.0193333333333333,0.0113333333333333,0,"Lab_15",24.2,"C15",2025-05-06,0.00048,2.97520661157025e-08,7881
"D12",0.00866666666666667,0.00466666666666667,0.0136666666666667,0.00866666666666667,0,"Lab_15",27,"C16",2025-05-06,0.000264,1.46666666666667e-08,5776
"E02",0.00533333333333334,0.00233333333333334,0.0103333333333333,0.00433333333333333,-0.001,"Lab_16",25,"D2",2025-05-12,0.000167999999999999,1.008e-08,2477
"E05",0.00933333333333333,0.00533333333333333,0.0243333333333333,0.00933333333333333,0,"Lab_17",24,"D5",2025-05-12,2.40000000000003e-05,1.50000000000002e-09,1926
"E08",0.00666666666666667,0.00366666666666667,0.0166666666666667,0.00666666666666667,0,"Lab_18",23.8,"D8",2025-05-12,4.79999999999995e-05,3.02521008403358e-09,2481
"E10",0.00433333333333333,0.00233333333333334,0.0113333333333333,0.00433333333333333,0,"Lab_19",24.7,"D10",2025-05-12,2.39999999999995e-05,1.45748987854248e-09,2265
"E11",0.00733333333333334,0.00533333333333334,0.0153333333333333,0.00733333333333334,0,"Lab_19",25.7,"D11",2025-05-12,1.56125112837913e-19,9.1123606714735e-24,1554
"E12",0.00666666666666667,0.00466666666666667,0.0146666666666667,0.00666666666666667,0,"Lab_19",25.8,"D12",2025-05-12,1.56125112837913e-19,9.07704144406469e-24,1986
"F02",0.0123333333333333,0.00533333333333334,0.0123333333333333,0.0123333333333333,0,"Lab_20",25.1,"D14",2025-05-12,0.000672,4.01593625498008e-08,7568
"F03",0.00833333333333333,0.00233333333333333,0.00933333333333333,0.00833333333333333,0,"Lab_20",25.2,"D15",2025-05-12,0.000552,3.28571428571428e-08,8097
"F04",0.00966666666666667,0.00266666666666667,0.0106666666666667,0.00966666666666667,0,"Lab_21",23,"D16",2025-05-12,0.000648,4.22608695652174e-08,8000
"F05",0.0233333333333333,0.00933333333333333,0.0183333333333333,0.0203333333333333,-0.003,"Lab_21",24.8,"E1",2025-05-12,0.001464,8.85483870967742e-08,14452
"F06",0.0163333333333333,0.00733333333333334,0.0143333333333333,0.0163333333333333,0,"Lab_21",23.8,"E2",2025-05-12,0.000912,5.74789915966387e-08,11514
"F07",0.00633333333333334,0.00233333333333333,0.00933333333333333,0.00633333333333334,0,"Lab_22",24.5,"E3",2025-05-12,0.000312,1.91020408163266e-08,4821
"F08",0.0106666666666667,0.00466666666666667,0.0106666666666667,0.0106666666666667,0,"Lab_22",23.5,"E4",2025-05-12,0.000576,3.67659574468085e-08,6683
"F09",0.0133333333333333,0.00733333333333333,0.0143333333333333,0.0133333333333333,0,"Lab_22",24.1,"E5",2025-05-12,0.000552,3.4356846473029e-08,7450
"F10",0.00733333333333334,0.00233333333333334,0.00933333333333334,0.00733333333333334,0,"Lab_23",24,"E6",2025-05-12,0.000432,2.7e-08,8281
"F11",0.0153333333333333,0.00433333333333333,0.0163333333333333,0.0153333333333333,0,"Lab_23",24.4,"E7",2025-05-12,0.001032,6.34426229508197e-08,14797
"F12",0.0136666666666667,0.00466666666666667,0.0156666666666667,0.0126666666666667,-0.001,"Lab_23",24.4,"E8",2025-05-12,0.000816,5.01639344262295e-08,12049
"G01",0.00933333333333333,0.00233333333333333,0.0153333333333333,0.00933333333333333,0,"Lab_24",24.5,"E9",2025-05-12,0.000528,3.23265306122449e-08,9078
"G05",0.00933333333333333,0.00433333333333333,0.0143333333333333,0.00933333333333333,0,"Lab_25",25.7,"E13",2025-05-12,0.00036,2.1011673151751e-08,6541
"G06",0.00333333333333333,0.00133333333333334,0.00833333333333334,0.00333333333333333,0,"Lab_25",23.3,"E14",2025-05-12,7.19999999999994e-05,4.63519313304717e-09,1894
"G08",0.0296666666666667,0.00866666666666667,0.0176666666666667,0.0306666666666667,0.001,"Lab_26",23.9,"E16",2025-05-12,0.002304,1.44602510460251e-07,38571
"G09",0.0203333333333333,0.00433333333333333,0.0123333333333333,0.0203333333333333,0,"Lab_26",26.6,"F1",2025-05-12,0.001728,9.74436090225564e-08,27366
"G10",0.0163333333333333,0.00933333333333334,0.0303333333333333,0.0163333333333333,0,"Lab_35",25.4,"F2",2025-05-12,0.000336,1.98425196850394e-08,7797
"G11",0.0233333333333333,0.00933333333333333,0.0293333333333333,0.0223333333333333,-0.001,"Lab_35",24.2,"F3",2025-05-12,0.0012,7.43801652892562e-08,16318
"G12",0.0246666666666667,0.0116666666666667,0.0346666666666667,0.0246666666666667,0,"Lab_35",26.2,"F4",2025-05-12,0.001008,5.77099236641221e-08,13050
"H01",0.0233333333333333,0.0153333333333333,0.0403333333333333,0.0233333333333333,0,"Lab_36",26.3,"F5",2025-05-12,0.00036,2.0532319391635e-08,5612
"H02",0.0163333333333333,0.0113333333333333,0.0303333333333333,0.0173333333333333,0.001,"Lab_36",24.3,"F6",2025-05-12,0.000144,8.8888888888889e-09,5238
"H03",0.160333333333333,0.134333333333333,0.205333333333333,0.161333333333333,0.000999999999999973,"Lab_36",25.8,"F7",2025-05-12,0.001416,8.2325581395349e-08,16646
"H04",0.0606666666666667,0.0296666666666667,0.0516666666666667,0.0616666666666667,0.001,"Lab_37",24.9,"F8",2025-05-12,0.003192,1.92289156626506e-07,38923
"H05",0.0743333333333333,0.0363333333333333,0.0693333333333333,0.0743333333333333,0,"Lab_37",26.3,"F9",2025-05-12,0.003768,2.1490494296578e-07,39640
"H06",0.138333333333333,0.0813333333333333,0.137333333333333,0.138333333333333,0,"Lab_37",24.8,"F10",2025-05-12,0.005496,3.3241935483871e-07,45258
"H07",0.0153333333333333,0.00633333333333334,0.0263333333333333,0.0153333333333333,0,"Lab_38",24,"F11",2025-05-12,6e-04,3.75e-08,9851
"H08",0.0136666666666667,0.00966666666666667,0.0276666666666667,0.0136666666666667,0,"Lab_38",25.4,"F12",2025-05-12,4.79999999999995e-05,2.83464566929131e-09,3666
"H09",0.0303333333333333,0.0223333333333333,0.0523333333333333,0.0303333333333333,0,"Lab_38",25.1,"F13",2025-05-12,0.000240000000000001,1.43426294820718e-08,2458
"H10",0.0543333333333333,0.0373333333333333,0.0683333333333333,0.0533333333333333,-0.001,"Lab_39",25.8,"F14",2025-05-12,0.001296,7.53488372093023e-08,12174
"H11",0.0393333333333333,0.0253333333333333,0.0543333333333333,0.0383333333333333,-0.001,"Lab_39",26.4,"F15",2025-05-12,0.000984,5.59090909090909e-08,13289
"H12",0.0766666666666667,0.0596666666666667,0.108666666666667,0.0756666666666667,-0.001,"Lab_39",25.9,"F16",2025-05-12,0.000864,5.00386100386101e-08,12658
